anon_school,anon_class,anon_pid,p_D,p_A,p_S
SCH_004,CLS_0017,P002519,0.16997656905544276,0.4454039890216564,0.16269011023385332
SCH_004,CLS_0017,P002118,0.28701536937021116,0.57251300639969,0.26555151228435225
SCH_004,CLS_0017,P007753,0.35800663993800597,0.6381897136972201,0.33907311482432084
SCH_004,CLS_0017,P003791,0.21396606989171296,0.4971785038999228,0.19606173556058887
SCH_004,CLS_0012,P002730,0.16979715859728073,0.4396914119514429,0.1538226277403945
SCH_004,CLS_0012,P002751,0.09522295954948093,0.33929743440143084,0.09414565575495963
SCH_004,CLS_0012,P006255,0.3417337445613451,0.6199344378488878,0.32321860542305203
SCH_004,CLS_0012,P000484,0.38425732152611497,0.6671285770329402,0.38774961446580125
SCH_004,CLS_0149,P007733,0.32980726691024176,0.6196938445701285,0.31319063820920257
SCH_004,CLS_0149,P005119,0.33217795012433043,0.6255244275198221,0.32201088929560884
SCH_004,CLS_0149,P001771,0.15104699027429946,0.4435931694158679,0.15031350243352784
SCH_004,CLS_0149,P006050,0.3193162506599131,0.6097564787828502,0.3023979690498181
SCH_004,CLS_0218,P002944,0.2722139614315819,0.5676817740505129,0.2555678845573282
SCH_004,CLS_0218,P002387,0.3870147022736434,0.6659324830287436,0.36584018865406553
SCH_004,CLS_0051,P001221,0.4446208552328336,0.7115181961410938,0.41958979022006315
SCH_004,CLS_0051,P006602,0.27864230852375876,0.5701703544238197,0.25529379914674566
SCH_004,CLS_0068,P004817,0.054757224836888864,0.2732319987953887,0.06435056575390596
SCH_004,CLS_0068,P003277,0.5111342583722229,0.751654565178816,0.4894574009503667
SCH_004,CLS_0068,P005907,0.2982218310339205,0.5762272151503945,0.26354816277213194
SCH_004,CLS_0068,P004176,0.16466845840529545,0.4201589938380668,0.1606431398677433
SCH_004,CLS_0068,P001774,0.7068426071905861,0.8678274247493591,0.7110631990161168
SCH_004,CLS_0007,P000107,0.4212043540931405,0.6969859669408089,0.41237283864838475
SCH_004,CLS_0007,P000075,0.19515478371573386,0.485883042406126,0.1815283163275578
SCH_004,CLS_0007,P001326,0.37827853079470525,0.6521047103830577,0.37394563132778197
SCH_004,CLS_0007,P006546,0.17406035462658093,0.4512834255722667,0.15846412131509885
SCH_004,CLS_0007,P006961,0.32560841215252334,0.6107799171818953,0.32279782173830707
SCH_004,CLS_0208,P005026,0.45043092448132893,0.7109964577460647,0.44687505540848926
SCH_004,CLS_0208,P006502,0.12017361812688189,0.3866950858622357,0.12576029770536618
SCH_004,CLS_0208,P002824,0.4004524192088574,0.6679763257690877,0.37917883480004283
SCH_004,CLS_0208,P006905,0.5368939662466494,0.7640325722934235,0.5158090994414996
SCH_004,CLS_0208,P004249,0.337116039700179,0.6208327129014158,0.31624377055696784
SCH_009,CLS_0154,P001562,0.43839636106610996,0.6966030054041121,0.419714795225718
SCH_009,CLS_0164,P006087,0.602586895176616,0.8150244363615068,0.6043085275655989
SCH_009,CLS_0164,P004127,0.37129831499937954,0.6577752439889747,0.35257770036346764
SCH_009,CLS_0179,P006578,0.5560493538994499,0.7810152331518363,0.5541783993251261
SCH_009,CLS_0179,P007372,0.6096967639964627,0.8116008317545286,0.592451013685564
SCH_009,CLS_0243,P007024,0.5071351297466812,0.760088020555406,0.4891828416117829
SCH_009,CLS_0243,P002865,0.5982736819381841,0.7994061410411303,0.582942175048247
SCH_009,CLS_0144,P007773,0.42817452694637653,0.6897154754143126,0.40377583291243674
SCH_009,CLS_0144,P000037,0.5600236003788477,0.7805884372426436,0.553692374229126
SCH_009,CLS_0144,P003106,0.5761301231147159,0.7909867513767259,0.5772109763726508
SCH_009,CLS_0144,P003326,0.5790989516960866,0.7951553664600846,0.5767369618606069
SCH_009,CLS_0185,P003097,0.5337868072732793,0.7610733798273723,0.5123899454367009
SCH_009,CLS_0185,P002533,0.4144062355600674,0.6904340127891397,0.397315909765968
SCH_009,CLS_0185,P002139,0.3802967407900457,0.6644838074887262,0.34961158458448005
SCH_009,CLS_0185,P001765,0.5021340023256069,0.7500509905374199,0.4733371275989206
SCH_009,CLS_0185,P007699,0.49557859061820764,0.738822873356175,0.4587416060966666
SCH_009,CLS_0185,P002825,0.5470119038909925,0.776789859567397,0.5101409373643033
SCH_009,CLS_0166,P005766,0.5027857047749826,0.7428497345752897,0.47895799714321596
SCH_009,CLS_0166,P004273,0.36316664922467373,0.6458493313505492,0.34718364490842124
SCH_009,CLS_0168,P003818,0.30043576430978675,0.5819365218962681,0.2699036567754608
SCH_009,CLS_0168,P005400,0.5859174837277833,0.7924722334046449,0.5725697007196474
SCH_009,CLS_0168,P003998,0.6731212966794089,0.8474003170149351,0.6646524499251681
SCH_009,CLS_0096,P003553,0.6046647308503822,0.8106950485849089,0.5926876741586175
SCH_009,CLS_0096,P001797,0.6999082650033341,0.866515804983915,0.708063702556856
SCH_009,CLS_0096,P006543,0.4384359224939524,0.7166449826343002,0.44089472670311336
SCH_009,CLS_0055,P005655,0.41046833293488855,0.6746760515270646,0.3930681680457029
SCH_009,CLS_0230,P000334,0.5894645991426879,0.8019577919689815,0.5806391360796078
SCH_009,CLS_0230,P006449,0.554068663938377,0.7777018394007805,0.5446284892541828
SCH_009,CLS_0230,P001695,0.5241099828298748,0.7644232952040844,0.504434306609209
SCH_009,CLS_0230,P002595,0.36734608123335954,0.6544727773933733,0.348707039033606
SCH_009,CLS_0121,P002092,0.7004935994847588,0.864787170805032,0.6959703949583054
SCH_009,CLS_0121,P005176,0.663941056894734,0.8435579696202092,0.6715321271907957
SCH_009,CLS_0080,P001046,0.6575236936875527,0.8302571299018691,0.6465803134779989
SCH_009,CLS_0076,P006862,0.5819920047808081,0.8036400359312806,0.5725557775502047
SCH_009,CLS_0076,P005362,0.6046544997195811,0.8110522507110897,0.5927482764421143
SCH_009,CLS_0251,P002525,0.5512695366030336,0.7780467166780209,0.538554762043908
SCH_009,CLS_0251,P002755,0.4767657137027431,0.7275351807287753,0.45198004040626033
SCH_009,CLS_0251,P005257,0.49503120954247665,0.7263422990173641,0.46394576964733947
SCH_009,CLS_0251,P001926,0.524051853319234,0.7553411071344592,0.5160776299638131
SCH_009,CLS_0251,P006718,0.5467085622286237,0.7770320933887975,0.5498090314045583
SCH_009,CLS_0251,P007427,0.5527855356939674,0.7778635398010003,0.5182917616735064
SCH_009,CLS_0009,P000656,0.364913343446344,0.6393725302854243,0.35515102342996147
SCH_009,CLS_0138,P004893,0.6137625876584883,0.8170378810155973,0.6150625338142404
SCH_009,CLS_0138,P001005,0.5597965395710347,0.772775092435122,0.5357712300330647
SCH_009,CLS_0138,P001457,0.2025559221911629,0.48854714018719153,0.18844494696734404
SCH_009,CLS_0138,P007448,0.5774425263259273,0.7986960559106373,0.564091431645062
